Id,已采,已发,电商平台,品牌,评论,时间,型号,PageUrl
11,TRUE,FALSE,京东,AO,大品牌，还行，服务确实好，加热快&hellip;&hellip;,2014/11/1 0:03,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-10.html?callback=CommentListNew.setData
12,TRUE,FALSE,京东,AO,还没安装嘞，还没安装嘞还没安装嘞还没安装嘞,2014/12/5 0:02,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-11.html?callback=CommentListNew.setData
13,TRUE,FALSE,京东,AO,送货安装都很快，配件又花了420.,2014/12/5 10:23,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-12.html?callback=CommentListNew.setData
14,TRUE,FALSE,京东,AO,安装的师傅服务一流，就冲着感受一下服务也值得购买。,2014/12/5 17:20,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-13.html?callback=CommentListNew.setData
15,TRUE,FALSE,京东,AO,史密斯的售后很好，但是样子太笨拙,2014/10/17 11:17,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-14.html?callback=CommentListNew.setData
16,TRUE,FALSE,京东,AO,史密斯大牌子，上午订的饭后就给送来了,2014/12/6 9:14,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-15.html?callback=CommentListNew.setData
17,TRUE,FALSE,京东,AO,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,2014/12/5 0:00,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-16.html?callback=CommentListNew.setData
18,TRUE,FALSE,京东,AO,还未安装，知名品牌，应该还好吧,2014/11/11 22:46,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-17.html?callback=CommentListNew.setData
19,TRUE,FALSE,京东,AO,特价买进。。。。。。。。。。。。。。。,2014/11/12 14:14,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-18.html?callback=CommentListNew.setData
20,TRUE,FALSE,京东,AO,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,2014/12/1 6:37,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-19.html?callback=CommentListNew.setData
21,TRUE,FALSE,京东,AO,还没有用，不清楚使用怎么样，不过外观很好。,2014/11/27 5:30,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-20.html?callback=CommentListNew.setData
22,TRUE,FALSE,京东,AO,热水器不错，安装师傅也好，就是材料费好贵呀,2014/11/11 21:03,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-21.html?callback=CommentListNew.setData
23,TRUE,FALSE,京东,AO,送货师傅和安装师傅都不错！\n,2014/12/1 0:07,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-22.html?callback=CommentListNew.setData
24,TRUE,FALSE,京东,AO,物流很快，客服服务也不错。新房子使用，还没拆包装,2014/11/17 16:11,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-23.html?callback=CommentListNew.setData
25,TRUE,FALSE,京东,AO,物品相当不错，与描述相符合!,2014/11/10 23:06,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-24.html?callback=CommentListNew.setData
26,TRUE,FALSE,京东,AO,配件真是偏贵，300,2014/11/27 9:10,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-25.html?callback=CommentListNew.setData
27,TRUE,FALSE,京东,AO,"东西很好,还没用!!东西很好,还没用!!东西很好,还没用!!东西很好,还没用!!东西很好,还没用!!东西很好,还没用!!东西很好,还没用!!东西很好,还没用!!东西很好,还没用!!",2014/11/27 0:05,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-26.html?callback=CommentListNew.setData
28,TRUE,FALSE,京东,AO,很好，非常满意的一次购物。,2014/11/10 0:02,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-27.html?callback=CommentListNew.setData
29,TRUE,FALSE,京东,AO,史密斯的品牌值得信赖，在美国一直硬品牌,2014/11/11 1:49,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-28.html?callback=CommentListNew.setData
30,TRUE,FALSE,京东,AO,给父母买的，说不错，很好,2014/6/17 13:21,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-29.html?callback=CommentListNew.setData
31,TRUE,FALSE,京东,AO,还没有安装 囤货中 使用以后再来追评,2014/11/12 14:27,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-30.html?callback=CommentListNew.setData
32,TRUE,FALSE,京东,AO,功率很大，水热的很快，也很方便,2014/6/1 9:41,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-31.html?callback=CommentListNew.setData
33,TRUE,FALSE,京东,AO,应该不错吧！因为家里没接地线，所以还没有装好！,2014/11/12 22:18,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-32.html?callback=CommentListNew.setData
34,TRUE,FALSE,京东,AO,用了几天感觉很好，安装师傅很负责花了197元。不知道为什么没有给我正式发票?不知京东怎么回事。,2014/11/11 10:39,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-33.html?callback=CommentListNew.setData
35,TRUE,FALSE,京东,AO,不bbc草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草,2014/11/13 14:41,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-34.html?callback=CommentListNew.setData
36,TRUE,FALSE,京东,AO,最喜欢的热水器品牌。推荐给亲戚了。,2014/10/20 16:47,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-35.html?callback=CommentListNew.setData
37,TRUE,FALSE,京东,AO,刚安装好，加热还比较快。,2014/11/17 21:40,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-36.html?callback=CommentListNew.setData
38,TRUE,FALSE,京东,AO,刚装上，还没用。送货和安装都很快！,2014/11/11 10:01,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-37.html?callback=CommentListNew.setData
39,TRUE,FALSE,京东,AO,已安装完毕，安装费确实不低，不过服务还不错,2014/10/27 22:24,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-38.html?callback=CommentListNew.setData
40,TRUE,FALSE,京东,AO,好用，喜欢，大爱，哒哒哒,2014/11/11 21:35,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-39.html?callback=CommentListNew.setData
41,TRUE,FALSE,京东,AO,还是大品牌的售后服务好，安装师傅非常专业，又程序正规，目前已经在用了，整体效果非常好，非常好的一次购物体验！,2014/10/8 10:22,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-40.html?callback=CommentListNew.setData
42,TRUE,FALSE,京东,AO,买回去还没有安装样子不错，值得购买！,2014/11/5 7:48,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-41.html?callback=CommentListNew.setData
43,TRUE,FALSE,京东,AO,热水器挺好，但是安装人员有点不地道，明明热水器包装里有垫片，还用收费的，装完收拾的时候才发现,2014/11/10 11:19,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-42.html?callback=CommentListNew.setData
44,TRUE,FALSE,京东,AO,加热的确很快，现在的水温20分钟就能到70度。。,2014/11/11 8:31,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-43.html?callback=CommentListNew.setData
45,TRUE,FALSE,京东,AO,东西很好，很不错！！！！！！！！！！！,2014/9/18 11:29,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-44.html?callback=CommentListNew.setData
46,TRUE,FALSE,京东,AO,东西不错还会再买东西不错还会再买,2014/11/11 12:56,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-45.html?callback=CommentListNew.setData
47,TRUE,FALSE,京东,AO,送给老人用的，很喜欢的,2014/11/11 22:23,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-46.html?callback=CommentListNew.setData
48,TRUE,FALSE,京东,AO,价格很好，质量不错,2014/11/14 23:05,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-47.html?callback=CommentListNew.setData
49,TRUE,FALSE,京东,AO,京东服务太差,2014/11/11 11:52,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-48.html?callback=CommentListNew.setData
50,TRUE,FALSE,京东,AO,品牌过硬，期待安装顺利。双十一期间快递等待时间确实有延长！,2014/11/11 1:03,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-49.html?callback=CommentListNew.setData
51,TRUE,FALSE,京东,AO,好用，多亏没买带遥控的，,2014/8/19 21:05,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-50.html?callback=CommentListNew.setData
52,TRUE,FALSE,京东,AO,物流很快，安装及时，产品质量不错。,2014/11/11 10:32,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-51.html?callback=CommentListNew.setData
53,TRUE,FALSE,京东,AO,品牌的东西，质量还是不错的，用了几天，感觉挺好，因为有预留，所以没用售后安装管道，就把机器固定了，一分钱没花！,2014/11/10 0:48,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-52.html?callback=CommentListNew.setData
54,TRUE,FALSE,京东,AO,好好好好好好好好好好好好,2014/11/11 20:59,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-53.html?callback=CommentListNew.setData
55,TRUE,FALSE,京东,AO,还没安装 产品很好哦,2014/11/10 15:09,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-54.html?callback=CommentListNew.setData
56,TRUE,FALSE,京东,AO,挺好的，很不错，很不错挺好的，很不错，很不错,2014/8/8 18:02,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-55.html?callback=CommentListNew.setData
57,TRUE,FALSE,京东,AO,10号买的11号就到了很快~快递师傅的态度很好哦~安装师傅也很好~还帮我装了个16A的插座,2014/11/10 0:15,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-56.html?callback=CommentListNew.setData
58,TRUE,FALSE,京东,AO,我也要用半个世纪,2014/7/1 15:32,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-57.html?callback=CommentListNew.setData
59,TRUE,FALSE,京东,AO,很不错昂 性价比很高，用着舒服,2014/11/1 9:14,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-58.html?callback=CommentListNew.setData
60,TRUE,FALSE,京东,AO,AO的热水器一直都不错 主要是胆好！,2014/11/11 20:53,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-59.html?callback=CommentListNew.setData
61,TRUE,FALSE,京东,AO,很好的一款热水器，京东的价格很诱人，送货快，安装好。,2014/10/17 7:31,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-60.html?callback=CommentListNew.setData
62,TRUE,FALSE,京东,AO,大品牌，值得信赖，质量不错的，售后有保障,2014/11/10 0:04,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-61.html?callback=CommentListNew.setData
63,TRUE,FALSE,京东,AO,京东自营一如既往的好！,2014/6/25 21:34,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-62.html?callback=CommentListNew.setData
64,TRUE,FALSE,京东,AO,很好用，安装师傅服务态度很好,2014/8/2 15:50,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-63.html?callback=CommentListNew.setData
65,TRUE,FALSE,京东,AO,发货倒是挺及时，但是委托的物流送货员不称职，把我的货直接甩给圆通快递了，相当无语，打电话过去问他，连着说了十个对不起，还好检查了下热水器包装没问题，也就勉强了。,2014/11/10 10:44,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-64.html?callback=CommentListNew.setData
66,TRUE,FALSE,京东,AO,东西还行，冲着牌子来买的，当天下单，下午就送来了，第二天安装师傅上门，收了点材料放，服务很周到。安装师傅说&ldquo;增容&rdquo;是进水水温在20度左右的情况下才能有它描述的效果，也就是夏天才有用，冬天水温低效果不会太明显，这和我想像的不太一样。不过总体还可以，只要材质好，安全最重要！,2014/11/10 8:33,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-65.html?callback=CommentListNew.setData
67,TRUE,FALSE,京东,AO,机器烧热了一会就没热水了，怎么回事,2014/10/27 6:06,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-66.html?callback=CommentListNew.setData
68,TRUE,FALSE,京东,AO,挺好的，希望能和广告一样，使得时间长,2014/11/1 0:50,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-67.html?callback=CommentListNew.setData
69,TRUE,FALSE,京东,AO,安装花了两百多，真黑,2014/10/10 13:50,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-68.html?callback=CommentListNew.setData
70,TRUE,FALSE,京东,AO,第二个史密斯热水器了，一如既往滴好，京东送货很快，安装滴师傅也很专业，收费很透明，很好,2014/11/1 21:02,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-69.html?callback=CommentListNew.setData
71,TRUE,FALSE,京东,AO,产品很不错，就是安装所需的配件都是收钱的,2014/10/27 9:34,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-70.html?callback=CommentListNew.setData
72,TRUE,FALSE,京东,AO,好用，物有所值！,2014/6/17 22:05,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-71.html?callback=CommentListNew.setData
73,TRUE,FALSE,京东,AO,安装过程中遇到不少麻烦 客服态度不好 买回来一周才装上,2014/9/6 11:52,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-72.html?callback=CommentListNew.setData
74,TRUE,FALSE,京东,AO,很不错，家里人都说好，加热很快,2014/9/11 16:40,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-73.html?callback=CommentListNew.setData
75,TRUE,FALSE,京东,AO,使用不错， 节能环保,2014/10/27 5:16,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-74.html?callback=CommentListNew.setData
76,TRUE,FALSE,京东,AO,送货、安装都很好。安装的人非要用他们的支架，唉，就算被他们忽悠了吧。,2014/10/27 0:03,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-75.html?callback=CommentListNew.setData
77,TRUE,FALSE,京东,AO,己装上，京东就是送货快，第二天师傅就上门按装了，还没试,2014/10/27 1:30,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-76.html?callback=CommentListNew.setData
78,TRUE,FALSE,京东,AO,老实讲，添置新家买了这么多电器， AO史密斯家的服务真心不错，安装师傅态度好，工作认真负责，安装完毕现场非常干净。后来还特意打电话回访。果断好评,2014/8/20 16:11,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-77.html?callback=CommentListNew.setData
79,TRUE,FALSE,京东,AO,满意。。。。。。。。。。。。。。。。。。,2014/9/25 19:28,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-78.html?callback=CommentListNew.setData
80,TRUE,FALSE,京东,AO,这个品牌的东西是一直在用的，至于这台还要时间来说话。品牌的形象也会通过服务人员直接展现。都上班，所以是老太太在家等安装。整个路由用了不到2m的ppr，2个角筏，收了6百多。安装的人电话都没敢留。人在做，天在看。,2014/10/19 14:15,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-79.html?callback=CommentListNew.setData
81,TRUE,FALSE,京东,AO,不错，一直在用，挺好。,2014/6/17 20:51,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-80.html?callback=CommentListNew.setData
82,TRUE,FALSE,京东,AO,东西不错，安装人员服务态度很好。这个产品不带固定支架吗？而且还差个放气用的塑料管，安装人员都说安装别家的时候，都是随机来的，我家的没有 希望解决下~！！,2014/10/17 10:51,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-81.html?callback=CommentListNew.setData
83,TRUE,FALSE,京东,AO,原来用过这个牌子，很好，这次用买了，还未用，很期待。,2014/10/7 21:47,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-82.html?callback=CommentListNew.setData
84,TRUE,FALSE,京东,AO,挺好的品牌，一直很信任,2014/9/23 6:37,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-83.html?callback=CommentListNew.setData
85,TRUE,FALSE,京东,AO,帮爸妈买的，加热挺快的，用着不错,2014/10/14 22:58,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-84.html?callback=CommentListNew.setData
86,TRUE,FALSE,京东,AO,加热快，省电，容量大，安装师傅服务很好,2014/9/24 13:12,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-85.html?callback=CommentListNew.setData
87,TRUE,FALSE,京东,AO,老品牌了，机器和服务都很好！,2014/10/11 15:05,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-86.html?callback=CommentListNew.setData
88,TRUE,FALSE,京东,AO,赞一个！ 大品牌的质量和服务！,2014/9/22 22:22,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-87.html?callback=CommentListNew.setData
89,TRUE,FALSE,京东,AO,很好。全优，全五分。,2014/6/17 8:49,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-88.html?callback=CommentListNew.setData
90,TRUE,FALSE,京东,AO,发表的有点晚  很喜欢这款 安装的位置比较靠棚上，所以显得空间大些，自己家卫生间比较小,2014/8/19 11:26,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-89.html?callback=CommentListNew.setData
91,TRUE,FALSE,京东,AO,装上了，还没用，用了再说吧,2014/10/7 12:15,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-90.html?callback=CommentListNew.setData
92,TRUE,FALSE,京东,AO,安装需要好多钱,2014/8/16 19:28,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-91.html?callback=CommentListNew.setData
93,TRUE,FALSE,京东,AO,帮同事买的，他很满意，不错,2014/10/17 8:40,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-92.html?callback=CommentListNew.setData
94,TRUE,FALSE,京东,AO,这个热水器买对了，老牌子品质信得过。,2014/10/13 20:41,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-93.html?callback=CommentListNew.setData
95,TRUE,FALSE,京东,AO,真行不错，上门安装的师傅很热心，配件收费合理，热水器也不错,2014/10/12 21:55,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-94.html?callback=CommentListNew.setData
96,TRUE,FALSE,京东,AO,大品牌就是好，用着舒服。,2014/9/24 9:14,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-95.html?callback=CommentListNew.setData
97,TRUE,FALSE,京东,AO,产品很好，送货快，加热快，,2014/9/22 18:37,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-96.html?callback=CommentListNew.setData
98,TRUE,FALSE,京东,AO,冲着史密斯的牌子去的，没用过，不知道比其他品牌贵了近一倍的价格是否物有所值，让时间来给我答案吧,2014/10/5 11:08,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-97.html?callback=CommentListNew.setData
99,TRUE,FALSE,京东,AO,：收到货之后发现包装完好，非常满意，送货的员工及时送上了赠品，安装的师傅是我遇到最负责、最满意的，安装之后发现安装的很细致。,2014/9/29 20:30,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-98.html?callback=CommentListNew.setData
100,TRUE,FALSE,京东,AO,送货很快，当天到达了，第二天安装给力，安装师傅态度很好，还没有推荐乱七八糟的配件之类的，不错，本次购物很愉快,2014/10/10 8:45,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-99.html?callback=CommentListNew.setData
101,TRUE,FALSE,京东,AO,还不错，挺好,2014/8/21 12:04,AO史密斯（A.O.Smith） ET300J-60 电热水器 60升,http://s.club.jd.com/productpage/p-1008025-s-0-t-1-p-100.html?callback=CommentListNew.setData
